DATE,MINIMUM,MAXIMUM,AVERAGE,Precip,Empty
2014-04-20,33,52,43,0.00,
2014-04-21,36,71,54,0.00,
2014-04-22,47,71,59,0.00,
2014-04-23,38,64,51,0.41,
2014-04-24,36,47,42,0.04,
2014-04-25,32,54,43,0.00,
2014-04-26,38,65,52,0.28,
2014-04-27,37,47,42,0.15,
2014-04-28,38,54,46,0.00,
2014-04-29,37,58,48,0.00,
2014-04-30,48,58,53,0.94,
2014-05-01,48,55,52,0.48,
2014-05-02,44,53,49,T,
2014-05-03,42,49,46,T,
2014-05-04,42,56,49,0.15,
2014-05-05,39,53,46,0.00,
2014-05-06,37,56,47,0.00,
2014-05-07,42,60,51,0.00,
2014-05-08,44,68,56,0.00,
2014-05-09,50,79,65,0.22,
2014-05-10,59,82,71,0.07,
2014-05-11,47,65,56,0.02,
2014-05-12,43,70,57,0.00,
2014-05-13,54,75,65,T,
2014-05-14,63,85,74,0.61,
2014-05-15,60,81,71,0.77,
2014-05-16,50,78,64,0.42,
2014-05-17,44,50,47,0.43,
2014-05-18,41,56,49,T,
2014-05-19,42,59,51,0.01,
2014-05-20,45,61,53,T,
2014-05-21,48,71,60,0.14,
2014-05-22,54,72,63,0.04,
2014-05-23,51,67,59,0.02,
2014-05-24,48,54,51,0.02,
2014-05-25,48,65,57,0.00,
2014-05-26,47,72,60,0.00,
2014-05-27,55,72,64,0.00,
2014-05-28,59,75,67,0.20,
2014-05-29,56,67,62,0.00,
2014-05-30,53,68,61,0.00,
2014-05-31,49,75,62,0.00,
2014-06-01,51,74,63,0.00,
2014-06-02,50,83,67,0.00,
2014-06-03,66,81,74,T,
2014-06-04,60,76,68,1.09,
2014-06-05,52,70,61,0.00,
2014-06-06,50,65,58,0.00,
2014-06-07,48,68,58,0.00,
2014-06-08,50,80,65,0.00,
2014-06-09,57,79,68,0.57,
2014-06-10,56,75,66,0.00,
2014-06-11,60,77,69,0.00,
2014-06-12,67,83,75,0.23,
2014-06-13,67,78,73,0.78,
2014-06-14,58,75,67,0.01,
2014-06-15,53,62,58,0.00,
2014-06-16,50,77,64,0.00,
2014-06-17,58,80,69,0.00,
2014-06-18,63,87,75,0.11,
2014-06-19,64,76,70,0.05,
2014-06-20,56,76,66,0.00,
2014-06-21,50,75,63,0.00,
2014-06-22,56,76,66,T,
2014-06-23,54,80,67,0.00,
2014-06-24,60,85,73,0.00,
2014-06-25,70,84,77,0.31,
2014-06-26,67,76,72,0.38,
2014-06-27,65,81,73,T,
2014-06-28,62,84,73,0.00,
2014-06-29,67,89,78,T,
2014-06-30,71,86,79,0.27,
2014-07-01,69,86,78,0.00,
2014-07-02,71,86,79,0.06,
2014-07-03,69,82,76,T,
2014-07-04,59,75,67,0.06,
2014-07-05,56,74,65,0.00,
2014-07-06,52,75,64,0.00,
2014-07-07,59,80,70,0.00,
2014-07-08,67,78,73,1.01,
2014-07-09,64,79,72,0.74,
2014-07-10,61,72,67,0.24,
2014-07-11,55,75,65,0.00,
2014-07-12,57,82,70,0.00,
2014-07-13,63,83,73,0.00,
2014-07-14,71,78,75,0.74,
2014-07-15,65,79,72,0.00,
2014-07-16,62,75,69,0.07,
2014-07-17,57,70,64,T,
2014-07-18,56,72,64,0.00,
2014-07-19,56,76,66,0.00,
2014-07-20,62,70,66,0.77,
2014-07-21,65,79,72,T,
2014-07-22,65,84,75,0.00,
2014-07-23,62,85,74,0.00,
2014-07-24,63,78,71,0.14,
2014-07-25,58,72,65,0.00,
2014-07-26,53,74,64,0.00,
2014-07-27,61,77,69,T,
2014-07-28,65,81,73,0.08,
2014-07-29,56,67,62,0.83,
2014-07-30,54,69,62,0.45,
2014-07-31,57,72,65,0.04,
2014-08-01,58,74,66,0.22,
2014-08-02,61,80,71,0.02,
2014-08-03,65,82,74,1.40,
2014-08-04,65,73,69,0.04,
2014-08-05,60,80,70,0.00,
2014-08-06,63,74,69,0.09,
2014-08-07,59,76,68,0.00,
2014-08-08,57,75,66,0.00,
2014-08-09,54,77,66,0.00,
2014-08-10,57,80,69,0.00,
2014-08-11,60,84,72,0.00,
2014-08-12,65,83,74,T,
2014-08-13,65,80,73,0.75,
2014-08-14,56,70,63,0.00,
2014-08-15,55,66,61,T,
2014-08-16,55,70,63,T,
2014-08-17,55,70,63,0.15,
2014-08-18,60,74,67,0.00,
